,电影名,上映时间,制作者,剧情类型,评分,评价人数
210,海边的曼彻斯特,2016,美国,剧情家庭,8.6,505489人评价
211,虎口脱险,1966,法国英国,喜剧战争,8.9,246367人评价
212,人工智能,2001,美国英国,剧情科幻,8.7,429098人评价
213,萤火虫之墓,1988,日本,动画剧情战争,8.7,394829人评价
214,波西米亚狂想曲,2018,英国美国,剧情传记同性音乐,8.6,580564人评价
215,青蛇,1993,中国香港中国大陆,剧情爱情奇幻古装,8.6,505261人评价
216,罗生门,1950,日本,剧情犯罪悬疑,8.8,302375人评价
217,终结者2：审判日,1991,美国法国,动作科幻,8.8,329927人评价
218,疯狂的麦克斯4：狂暴之路,2015,澳大利亚美国,动作科幻冒险,8.7,508446人评价
219,新龙门客栈,1992,中国香港中国大陆,动作爱情武侠古装,8.7,426884人评价
220,奇迹男孩,2017,美国中国香港,剧情儿童家庭,8.6,537448人评价
221,千钧一发,1997,美国,剧情科幻惊悚,8.8,283416人评价
222,二十二,2015,中国大陆,纪录片,8.7,284536人评价
223,无耻混蛋,2009,德国美国,剧情犯罪,8.6,457312人评价
224,崖上的波妞,2008,日本,动画奇幻冒险,8.6,471669人评价
225,彗星来的那一夜,2013,美国英国,科幻悬疑惊悚,8.5,551135人评价
226,房间,2015,爱尔兰加拿大英国美国,剧情家庭,8.8,359777人评价
227,血钻,2006,美国德国英国,剧情惊悚冒险,8.7,366710人评价
228,黑客帝国2：重装上阵,2003,美国,动作科幻,8.7,392093人评价
229,步履不停,2008,日本,剧情家庭,8.8,268683人评价
230,魂断蓝桥,1940,美国,剧情爱情战争,8.8,267950人评价
231,战争之王,2005,法国德国美国,剧情犯罪,8.7,354425人评价
232,末路狂花,1991,美国英国法国,犯罪剧情惊悚,8.9,235982人评价
233,爱乐之城,2016,美国,剧情爱情歌舞,8.4,854289人评价
234,花束般的恋爱,2021,日本,剧情爱情,8.6,561362人评价
235,火星救援,2015,英国美国匈牙利约旦,剧情科幻冒险,8.5,698258人评价
236,谍影重重2,2004,美国德国,动作悬疑惊悚,8.7,339264人评价
237,千年女优,2001,日本,动画剧情爱情,8.8,252515人评价
238,燃情岁月,1994,美国,剧情爱情战争西部,8.8,277597人评价
239,哈利·波特与死亡圣器(上),2010,英国美国,奇幻冒险,8.5,543302人评价
240,芙蓉镇,1987,中国大陆,剧情爱情,9.2,123661人评价
241,阿飞正传,1990,中国香港,犯罪剧情爱情,8.5,489109人评价
242,谍影重重,2002,美国德国捷克,动作悬疑惊悚,8.6,409256人评价
243,再次出发之纽约遇见你,2013,美国,喜剧爱情音乐,8.6,414284人评价
244,弱点,2009,美国,剧情家庭传记运动,8.7,292204人评价
245,朗读者,2008,美国德国,剧情爱情,8.6,442817人评价
246,海洋,2009,法国瑞士西班牙美国阿联酋摩纳哥,纪录片,9.1,153862人评价
247,香水,2006,德国法国西班牙美国比利时,剧情犯罪奇幻,8.5,529452人评价
248,穿越时空的少女,2006,日本,剧情爱情科幻动画,8.6,370073人评价
249,我爱你,2011,韩国,剧情爱情,9.0,160417人评价
250,地球上的星星,2007,印度,剧情儿童家庭,8.9,198440人评价
